,road_segment_id,road_segment_length,ST_NAME,speed_category,funclass_name,geometry,direction,ST_TYPE,ST_PRE,From,To,To_2,To_3,To_4
7347,1240752630,0.034796776,TX-288-LOOP N,45,Highways,"MULTILINESTRING ((2399468.543845236 7123733.080034576, 2399472.1717523485 7123918.696596402))",N,Unknown,,,,,,
7348,1240752631,0.040389115,TX-288-LOOP N,45,Highways,"MULTILINESTRING ((2399472.1717523485 7123918.696596402, 2399478.467479952 7124133.457660419))",N,Unknown,,Morse,,,,
7349,1240752804,0.128623797,I-35W S,70,Interstate,"MULTILINESTRING ((2371297.8859552816 7110450.771973638, 2371599.2852828926 7111062.183187823))",NE,Unknown,,,,,,
7350,1240752805,0.139187104,I-35W S,70,Interstate,"MULTILINESTRING ((2371599.2852828926 7111062.183187823, 2371927.6145420223 7111721.2363638645))",NE,Unknown,,,,,,
7351,1240752806,0.055302019,Shady Oaks,40,Arterial,"MULTILINESTRING ((2397288.6841864837 7123649.335194987, 2397438.3483075416 7123665.887270535, 2397523.8844767255 7123674.306502661, 2397578.8372889366 7123682.317510926))",E,Dr,,,,,,
7352,1240753143,0.019262501,Hickory Creek,40,Arterial,"MULTILINESTRING ((2392221.9685651534 7103086.139463306, 2392117.8706978424 7103088.406184998))",W,Rd,,Almonte,,,,
7353,1240753206,0.046602825,Fort Worth,40,Arterial,"MULTILINESTRING ((2384118.833978558 7114063.334557268, 2384269.301970313 7114258.123614431))",NE,Dr,,,,,,
7354,1240753543,0.019262501,University,35,Highways,"MULTILINESTRING ((2381637.685310597 7132831.780793875, 2381567.316930593 7132834.514344026, 2381533.684866605 7132834.081846236))",W,Dr,W,,,,,
7355,1240753545,0.01242742,University,35,Highways,"MULTILINESTRING ((2378138.695220836 7132885.207507939, 2378205.959241309 7132886.0654290635))",E,Dr,W,,,,,
7356,1240753546,0.041631857,University,45,Highways,"MULTILINESTRING ((2378138.695220836 7132885.207507939, 2377918.4656699547 7132889.676717163))",W,Dr,W,Bonnie Brae,,,,
7357,1240753639,0.045360083,Shady Oaks,40,Arterial,"MULTILINESTRING ((2394724.127079884 7123971.792115651, 2394922.530558194 7124003.533420463, 2394962.1918932735 7124011.337004099))",E,Dr,,Shady Oaks,,,,
7358,1240753947,0.028583066,University,35,Highways,"MULTILINESTRING ((2377914.61989629 7132951.483459315, 2377761.6547225155 7132956.811195883))",W,Dr,W,Bonnie Brae,,,,
7359,1240753948,0.019883872,University,45,Highways,"MULTILINESTRING ((2377761.6547225155 7132956.811195883, 2377654.597673467 7132959.085851481))",W,Dr,W,,,,,
7360,1240753949,0.035418147,University,35,Highways,"MULTILINESTRING ((2381389.0956881 7132901.35587878, 2381199.4867905667 7132902.557654209))",W,Dr,W,Malone,,,,
7361,1240754136,0.034175405,Hickory Creek,40,Arterial,"MULTILINESTRING ((2395132.4494099137 7103113.714933846, 2395316.066769586 7103116.1521083955))",E,Rd,,Teasley,,,,
7362,1240754137,0.040389115,Hickory Creek,40,Arterial,"MULTILINESTRING ((2397778.626770209 7102992.482005554, 2397564.3571410123 7102993.260222242))",W,Ln,,Barrell Strap,,,,
7363,1240754138,0.047224196,Hickory Creek,40,Arterial,"MULTILINESTRING ((2397564.3571410123 7102993.260222242, 2397313.363930938 7102993.550024777))",W,Ln,,Erin,,,,
7364,1240754410,0.241091948,Hickory Creek,40,Arterial,"MULTILINESTRING ((2385131.0605972954 7103717.531711146, 2384968.02001395 7103780.912658194, 2384912.5589813627 7103809.302440799, 2384856.909589628 7103852.2439775625, 2384816.5614214884 7103895.383752381, 2384788.407097638 7103942.319996086, 2384674.848722614 7104202.823536832, 2384618.5410873597 7104296.696313436, 2384565.6235183952 7104365.143386467, 2384519.061884765 7104415.480169022, 2384450.843923391 7104483.729436154, 2384376.6000667852 7104544.623842867, 2384286.9616511804 7104612.596360631))",NW,Rd,,,,,,
7365,1240754411,0.017398388,Hickory Creek,40,Arterial,"MULTILINESTRING ((2384286.9616511804 7104612.596360631, 2384277.6871108217 7104619.753460224, 2384222.134042779 7104655.420280504, 2384209.799387176 7104662.5378276985))",NW,Rd,,,,,,
7366,1240754481,0.52816535,Shady Oaks,40,Arterial,"MULTILINESTRING ((2397585.4883862697 7123642.381922422, 2397350.3850201233 7123610.134295208, 2397136.738128544 7123574.536058296, 2397011.4431514246 7123565.587566586, 2396892.0222663595 7123574.910795113, 2396766.33929829 7123595.066740269, 2396649.5891129775 7123633.535119786, 2396557.1604657974 7123683.243694381, 2396489.3441024735 7123722.364638781, 2396387.208047131 7123811.968784369, 2396272.6455692896 7123915.962126419, 2396180.0246146265 7123980.223541761, 2396072.2577877627 7124033.367909513, 2395964.7817323655 7124064.685015018, 2395839.1013010964 7124084.84459353, 2395692.351593505 7124079.25444199, 2395359.625887845 7124027.530581075, 2394984.17948598 7123967.96590694, 2394953.6447298382 7123963.922015383))",W,Dr,,,,,,
7367,1240754482,0.042253228,Shady Oaks,40,Arterial,"MULTILINESTRING ((2394730.7745720227 7123931.8559289565, 2394953.6447298382 7123963.922015383))",E,Dr,,Shady Oaks,,,,
7368,1240754483,0.020505243,Shady Oaks,40,Arterial,"MULTILINESTRING ((2393243.572633081 7122820.587788625, 2393188.4731024588 7122823.4980163835, 2393133.3735830565 7122826.408338641))",W,Dr,,,,,,
7369,1240754484,0.035418147,Shady Oaks,40,Arterial,"MULTILINESTRING ((2393133.3735830565 7122826.408338641, 2393004.824103128 7122831.986811555, 2392946.522031202 7122845.770864789))",W,Dr,,Woodrow,,,,
7370,1240755207,0.041631857,Hickory Creek,40,Arterial,"MULTILINESTRING ((2395831.936075369 7102992.01750351, 2395770.391618923 7103016.6692885645, 2395718.124830846 7103034.167396992, 2395675.1356608304 7103044.511783327, 2395619.9053389244 7103054.693595935))",W,Ln,,,,,,
7371,1240755208,0.047845567,Hickory Creek,40,Arterial,"MULTILINESTRING ((2395619.9053389244 7103054.693595935, 2395570.795641337 7103064.95680802, 2395509.5414404254 7103067.78171201, 2395365.6110224593 7103073.147431764))",W,Ln,,Teasley,,,,
7372,1240755426,0.031689921,I-35E S,70,Interstate,"MULTILINESTRING ((2388789.552784865 7120029.453506786, 2388626.8719951864 7120070.988827694))",W,Unknown,,,,,,
